119266;2;0;2
150692;6;4;0
128042;7;1;3
115738;1;3;8
124275;6;4;2
162680;7;9;5
186319;5;6;7
113122;10;0;7
183516;5;7;4
119266;2;5;1
150692;8;7;9
119983;1;3;7
183701;5;9;4
183516;0;6;10
179047;7;1;10
112129;1;8;5
109763;10;7;7
153377;10;7;0
198963;7;5;8
171599;4;1;5
196785;8;4;4
162680;0;4;2
198420;4;4;0
162680;7;5;9
135693;3;8;1
122817;10;10;10
134222;7;10;5
173520;4;7;10
142215;7;2;10
109763;5;9;8
115203;5;9;6
198963;8;9;10
196785;5;8;5
158709;4;4;8
183516;10;9;9
157212;9;2;4
162833;6;1;10
162680;4;10;8
198963;6;3;4
186319;1;3;10
128042;1;8;8
184786;10;7;3
142215;5;1;9
134125;8;0;6
162833;6;9;6
134222;0;3;5
198963;4;6;10
113122;5;7;6
119266;0;4;8
118101;1;8;5
104274;0;10;2
134125;9;7;8
142855;9;9;1
135693;3;2;5
142215;10;7;4
109763;8;10;10
183800;1;5;8
179047;4;1;7
146058;2;1;6
184225;5;3;10
173384;2;10;8
198963;8;9;0
179047;1;6;1
171414;10;1;4
112129;7;6;8
115203;8;9;0
146058;0;3;4
128042;4;3;10
184225;10;7;10
135693;8;9;1
134125;6;5;9
142180;1;6;5
115738;1;6;10
196785;5;1;2
128042;6;9;9
109763;1;0;3
171599;6;6;5
118101;6;9;8
116803;9;10;7
153377;2;5;3
173384;6;7;9
183800;4;5;7
171599;9;0;2
124275;9;0;7
188223;2;9;10
119266;10;5;4
158709;1;1;6
139929;1;9;2
142855;4;9;3
183516;1;5;5
142855;5;6;5
162833;10;4;4
157212;6;5;8
169711;1;8;1
188223;6;7;0
183701;1;4;6
188223;2;8;10
196785;8;9;2
139193;4;2;6
134222;7;8;5
171414;9;3;2
142215;9;-1;10
172472;10;8;9
162680;7;9;7
179047;3;7;2
104274;3;9;3
162680;9;1;1
188223;3;5;0
115203;6;8;0
169126;5;8;3
150692;1;2;5
119983;2;0;1
198420;1;1;0
173384;0;3;5
186319;7;10;3
183800;3;0;0
158709;6;2;5
198420;1;4;5
183800;9;8;7
115203;2;10;3
184225;2;4;8
162680;3;6;8
183701;6;1;7
198420;7;4;8
197371;6;1;8
122817;4;9;2
190197;10;2;3
188223;2;8;3
128042;8;8;5
183800;1;5;9
157212;11;6;5
128042;5;10;4
162833;7;0;1
183516;5;0;3
112129;0;7;9
172472;9;5;2
173384;7;6;7
118101;8;7;3
112129;1;3;7
112129;2;10;6
196785;6;10;3
173384;8;2;3
183701;0;7;2
171599;7;2;10
104274;6;8;3
104274;1;10;4
